scenario,scenario_type,method,n_used,mean_log_variance,empirical_log_variance,mean_ci_width_rr,variance_ratio,coverage,coverage_n
prop_0.4,standard,OR-PGEE-ZY,887,0.5380986104898254,0.4835629325232532,16.19638236400594,1.1127788635121443,0.9301014656144306,887
prop_0.4,standard,RR-GEE,887,0.7602702001873355,0.5794460583466234,39.485213235125826,1.3120638051394655,0.9740698985343855,887
prop_0.4,standard,RR-PGEE,887,0.4598349416623096,0.434406347352628,18.936765572114627,1.058536424397685,0.939120631341601,887
prop_0.5,standard,OR-GEE-ZY,833,0.8546092909597153,0.564425785734858,23.9499703717669,1.5141216304408398,0.9567827130852341,833
prop_0.5,standard,OR-PGEE-ZY,833,0.5173934880672468,0.41732351932254946,14.261187219539803,1.2397899090545943,0.921968787515006,833
prop_0.5,standard,RR-GEE,833,0.7684297352428441,0.5065017009193082,37.05232141653322,1.5171315986661693,0.9663865546218487,833
prop_0.5,standard,RR-PGEE,833,0.4472342932858295,0.3775018332115282,16.468003531427705,1.18472085150174,0.9339735894357744,833
prop_0.6,standard,OR-GEE-ZY,756,0.8595102731761877,0.4733500677458864,20.49586257258803,1.815802577718459,0.9378306878306878,756
prop_0.6,standard,OR-PGEE-ZY,756,0.5040798819254715,0.34209555282803655,11.739988842533007,1.4735060943012628,0.8862433862433863,756
prop_0.6,standard,RR-GEE,756,0.772797859221915,0.4253475216274328,31.282252939821678,1.8168622595121604,0.9563492063492064,756
prop_0.6,standard,RR-PGEE,756,0.43541332370571506,0.3105968314553186,13.35129781786544,1.401860159569439,0.906084656084656,756
prop_0.7,standard,OR-GEE-ZY,668,0.9043809996082839,0.43607113269577136,17.63267883446978,2.0739299893974703,0.9176646706586826,668
prop_0.7,standard,OR-PGEE-ZY,668,0.5021945538711641,0.3113994482171659,9.49656959093826,1.612702131446746,0.8488023952095808,668
prop_0.7,standard,RR-GEE,668,0.8101758771462924,0.3873293050408817,26.965442242312623,2.0916978565842834,0.9416167664670658,668
prop_0.7,standard,RR-PGEE,668,0.4298216751203888,0.2822408086973187,10.610856038503858,1.5228898935778599,0.8532934131736527,668
prop_0.8,standard,OR-GEE-ZY,525,0.9377736540203615,0.4345724564243764,13.26905463702778,2.157922436539766,0.8571428571428571,525
prop_0.8,standard,OR-PGEE-ZY,525,0.5082344338009978,0.31481820415725553,6.874300587579938,1.6143743503064023,0.7276190476190476,525
prop_0.8,standard,RR-GEE,525,0.8262516607888407,0.3760741775098204,19.99045867759448,2.1970443869873644,0.8914285714285715,525
prop_0.8,standard,RR-PGEE,525,0.4195170113056298,0.2806577934866685,7.427682693319786,1.494763448731942,0.7352380952380952,525
